hourly_counts,date_time,year,month,month_day,week_day,hour,sensor_id,sensor_name
151,2016-01-06 07:00:00,2016,January,6,Wednesday,7,2,Bourke Street Mall (South)
455,2016-01-06 08:00:00,2016,January,6,Wednesday,8,2,Bourke Street Mall (South)
720,2016-01-06 09:00:00,2016,January,6,Wednesday,9,2,Bourke Street Mall (South)
1313,2016-01-06 10:00:00,2016,January,6,Wednesday,10,2,Bourke Street Mall (South)
2357,2016-01-06 11:00:00,2016,January,6,Wednesday,11,2,Bourke Street Mall (South)
3674,2016-01-06 12:00:00,2016,January,6,Wednesday,12,2,Bourke Street Mall (South)
3982,2016-01-06 13:00:00,2016,January,6,Wednesday,13,2,Bourke Street Mall (South)
3426,2016-01-06 14:00:00,2016,January,6,Wednesday,14,2,Bourke Street Mall (South)
3086,2016-01-06 15:00:00,2016,January,6,Wednesday,15,2,Bourke Street Mall (South)
3119,2016-01-06 16:00:00,2016,January,6,Wednesday,16,2,Bourke Street Mall (South)
2675,2016-01-06 17:00:00,2016,January,6,Wednesday,17,2,Bourke Street Mall (South)
1787,2016-01-06 18:00:00,2016,January,6,Wednesday,18,2,Bourke Street Mall (South)
831,2016-01-06 19:00:00,2016,January,6,Wednesday,19,2,Bourke Street Mall (South)
528,2016-01-06 20:00:00,2016,January,6,Wednesday,20,2,Bourke Street Mall (South)
333,2016-01-06 21:00:00,2016,January,6,Wednesday,21,2,Bourke Street Mall (South)
265,2016-01-06 22:00:00,2016,January,6,Wednesday,22,2,Bourke Street Mall (South)
186,2016-01-06 23:00:00,2016,January,6,Wednesday,23,2,Bourke Street Mall (South)
52,2016-01-07 00:00:00,2016,January,7,Thursday,0,2,Bourke Street Mall (South)
53,2016-01-07 01:00:00,2016,January,7,Thursday,1,2,Bourke Street Mall (South)
37,2016-01-07 02:00:00,2016,January,7,Thursday,2,2,Bourke Street Mall (South)
17,2016-01-07 03:00:00,2016,January,7,Thursday,3,2,Bourke Street Mall (South)
24,2016-01-07 04:00:00,2016,January,7,Thursday,4,2,Bourke Street Mall (South)
16,2016-01-07 05:00:00,2016,January,7,Thursday,5,2,Bourke Street Mall (South)
54,2016-01-07 06:00:00,2016,January,7,Thursday,6,2,Bourke Street Mall (South)
189,2016-01-07 07:00:00,2016,January,7,Thursday,7,2,Bourke Street Mall (South)
462,2016-01-07 08:00:00,2016,January,7,Thursday,8,2,Bourke Street Mall (South)
754,2016-01-07 09:00:00,2016,January,7,Thursday,9,2,Bourke Street Mall (South)
1505,2016-01-07 10:00:00,2016,January,7,Thursday,10,2,Bourke Street Mall (South)
2175,2016-01-07 11:00:00,2016,January,7,Thursday,11,2,Bourke Street Mall (South)
3439,2016-01-07 12:00:00,2016,January,7,Thursday,12,2,Bourke Street Mall (South)
3807,2016-01-07 13:00:00,2016,January,7,Thursday,13,2,Bourke Street Mall (South)
3282,2016-01-07 14:00:00,2016,January,7,Thursday,14,2,Bourke Street Mall (South)
3254,2016-01-07 15:00:00,2016,January,7,Thursday,15,2,Bourke Street Mall (South)
3101,2016-01-07 16:00:00,2016,January,7,Thursday,16,2,Bourke Street Mall (South)
2765,2016-01-07 17:00:00,2016,January,7,Thursday,17,2,Bourke Street Mall (South)
1921,2016-01-07 18:00:00,2016,January,7,Thursday,18,2,Bourke Street Mall (South)
1226,2016-01-07 19:00:00,2016,January,7,Thursday,19,2,Bourke Street Mall (South)
931,2016-01-07 20:00:00,2016,January,7,Thursday,20,2,Bourke Street Mall (South)
389,2016-01-07 21:00:00,2016,January,7,Thursday,21,2,Bourke Street Mall (South)
262,2016-01-07 22:00:00,2016,January,7,Thursday,22,2,Bourke Street Mall (South)
141,2016-01-07 23:00:00,2016,January,7,Thursday,23,2,Bourke Street Mall (South)
79,2016-01-08 00:00:00,2016,January,8,Friday,0,2,Bourke Street Mall (South)
55,2016-01-08 01:00:00,2016,January,8,Friday,1,2,Bourke Street Mall (South)
32,2016-01-08 02:00:00,2016,January,8,Friday,2,2,Bourke Street Mall (South)
17,2016-01-08 03:00:00,2016,January,8,Friday,3,2,Bourke Street Mall (South)
42,2016-01-08 04:00:00,2016,January,8,Friday,4,2,Bourke Street Mall (South)
21,2016-01-08 05:00:00,2016,January,8,Friday,5,2,Bourke Street Mall (South)
62,2016-01-08 06:00:00,2016,January,8,Friday,6,2,Bourke Street Mall (South)
183,2016-01-08 07:00:00,2016,January,8,Friday,7,2,Bourke Street Mall (South)
465,2016-01-08 08:00:00,2016,January,8,Friday,8,2,Bourke Street Mall (South)
708,2016-01-08 09:00:00,2016,January,8,Friday,9,2,Bourke Street Mall (South)
1197,2016-01-08 10:00:00,2016,January,8,Friday,10,2,Bourke Street Mall (South)
2153,2016-01-08 11:00:00,2016,January,8,Friday,11,2,Bourke Street Mall (South)
3400,2016-01-08 12:00:00,2016,January,8,Friday,12,2,Bourke Street Mall (South)
3864,2016-01-08 13:00:00,2016,January,8,Friday,13,2,Bourke Street Mall (South)
3333,2016-01-08 14:00:00,2016,January,8,Friday,14,2,Bourke Street Mall (South)
3281,2016-01-08 15:00:00,2016,January,8,Friday,15,2,Bourke Street Mall (South)
3074,2016-01-08 16:00:00,2016,January,8,Friday,16,2,Bourke Street Mall (South)
3072,2016-01-08 17:00:00,2016,January,8,Friday,17,2,Bourke Street Mall (South)
2219,2016-01-08 18:00:00,2016,January,8,Friday,18,2,Bourke Street Mall (South)
1598,2016-01-08 19:00:00,2016,January,8,Friday,19,2,Bourke Street Mall (South)
1259,2016-01-08 20:00:00,2016,January,8,Friday,20,2,Bourke Street Mall (South)
647,2016-01-08 21:00:00,2016,January,8,Friday,21,2,Bourke Street Mall (South)
341,2016-01-08 22:00:00,2016,January,8,Friday,22,2,Bourke Street Mall (South)
239,2016-01-08 23:00:00,2016,January,8,Friday,23,2,Bourke Street Mall (South)
151,2016-01-09 00:00:00,2016,January,9,Saturday,0,2,Bourke Street Mall (South)
93,2016-01-09 01:00:00,2016,January,9,Saturday,1,2,Bourke Street Mall (South)
65,2016-01-09 02:00:00,2016,January,9,Saturday,2,2,Bourke Street Mall (South)
67,2016-01-09 03:00:00,2016,January,9,Saturday,3,2,Bourke Street Mall (South)
38,2016-01-09 04:00:00,2016,January,9,Saturday,4,2,Bourke Street Mall (South)
19,2016-01-09 05:00:00,2016,January,9,Saturday,5,2,Bourke Street Mall (South)
37,2016-01-09 06:00:00,2016,January,9,Saturday,6,2,Bourke Street Mall (South)
92,2016-01-09 07:00:00,2016,January,9,Saturday,7,2,Bourke Street Mall (South)
175,2016-01-09 08:00:00,2016,January,9,Saturday,8,2,Bourke Street Mall (South)
544,2016-01-09 09:00:00,2016,January,9,Saturday,9,2,Bourke Street Mall (South)
1039,2016-01-09 10:00:00,2016,January,9,Saturday,10,2,Bourke Street Mall (South)
1834,2016-01-09 11:00:00,2016,January,9,Saturday,11,2,Bourke Street Mall (South)
2382,2016-01-09 12:00:00,2016,January,9,Saturday,12,2,Bourke Street Mall (South)
2842,2016-01-09 13:00:00,2016,January,9,Saturday,13,2,Bourke Street Mall (South)
3210,2016-01-09 14:00:00,2016,January,9,Saturday,14,2,Bourke Street Mall (South)
3291,2016-01-09 15:00:00,2016,January,9,Saturday,15,2,Bourke Street Mall (South)
3194,2016-01-09 16:00:00,2016,January,9,Saturday,16,2,Bourke Street Mall (South)
2532,2016-01-09 17:00:00,2016,January,9,Saturday,17,2,Bourke Street Mall (South)
1796,2016-01-09 18:00:00,2016,January,9,Saturday,18,2,Bourke Street Mall (South)
855,2016-01-09 19:00:00,2016,January,9,Saturday,19,2,Bourke Street Mall (South)
453,2016-01-09 20:00:00,2016,January,9,Saturday,20,2,Bourke Street Mall (South)
450,2016-01-09 21:00:00,2016,January,9,Saturday,21,2,Bourke Street Mall (South)
388,2016-01-09 22:00:00,2016,January,9,Saturday,22,2,Bourke Street Mall (South)
350,2016-01-09 23:00:00,2016,January,9,Saturday,23,2,Bourke Street Mall (South)
171,2016-01-10 00:00:00,2016,January,10,Sunday,0,2,Bourke Street Mall (South)
177,2016-01-10 01:00:00,2016,January,10,Sunday,1,2,Bourke Street Mall (South)
107,2016-01-10 02:00:00,2016,January,10,Sunday,2,2,Bourke Street Mall (South)
99,2016-01-10 03:00:00,2016,January,10,Sunday,3,2,Bourke Street Mall (South)
56,2016-01-10 04:00:00,2016,January,10,Sunday,4,2,Bourke Street Mall (South)
48,2016-01-10 05:00:00,2016,January,10,Sunday,5,2,Bourke Street Mall (South)
29,2016-01-10 06:00:00,2016,January,10,Sunday,6,2,Bourke Street Mall (South)
56,2016-01-10 07:00:00,2016,January,10,Sunday,7,2,Bourke Street Mall (South)
124,2016-01-10 08:00:00,2016,January,10,Sunday,8,2,Bourke Street Mall (South)
384,2016-01-10 09:00:00,2016,January,10,Sunday,9,2,Bourke Street Mall (South)
1007,2016-01-10 10:00:00,2016,January,10,Sunday,10,2,Bourke Street Mall (South)
1620,2016-01-10 11:00:00,2016,January,10,Sunday,11,2,Bourke Street Mall (South)
2037,2016-01-10 12:00:00,2016,January,10,Sunday,12,2,Bourke Street Mall (South)
2155,2016-01-10 13:00:00,2016,January,10,Sunday,13,2,Bourke Street Mall (South)
2332,2016-01-10 14:00:00,2016,January,10,Sunday,14,2,Bourke Street Mall (South)
2442,2016-01-10 15:00:00,2016,January,10,Sunday,15,2,Bourke Street Mall (South)
2114,2016-01-10 16:00:00,2016,January,10,Sunday,16,2,Bourke Street Mall (South)
1590,2016-01-10 17:00:00,2016,January,10,Sunday,17,2,Bourke Street Mall (South)
986,2016-01-10 18:00:00,2016,January,10,Sunday,18,2,Bourke Street Mall (South)
548,2016-01-10 19:00:00,2016,January,10,Sunday,19,2,Bourke Street Mall (South)
389,2016-01-10 20:00:00,2016,January,10,Sunday,20,2,Bourke Street Mall (South)
295,2016-01-10 21:00:00,2016,January,10,Sunday,21,2,Bourke Street Mall (South)
172,2016-01-10 22:00:00,2016,January,10,Sunday,22,2,Bourke Street Mall (South)
81,2016-01-10 23:00:00,2016,January,10,Sunday,23,2,Bourke Street Mall (South)
77,2016-01-11 00:00:00,2016,January,11,Monday,0,2,Bourke Street Mall (South)
34,2016-01-11 01:00:00,2016,January,11,Monday,1,2,Bourke Street Mall (South)
15,2016-01-11 02:00:00,2016,January,11,Monday,2,2,Bourke Street Mall (South)
15,2016-01-11 03:00:00,2016,January,11,Monday,3,2,Bourke Street Mall (South)
15,2016-01-11 04:00:00,2016,January,11,Monday,4,2,Bourke Street Mall (South)
28,2016-01-11 05:00:00,2016,January,11,Monday,5,2,Bourke Street Mall (South)
92,2016-01-11 06:00:00,2016,January,11,Monday,6,2,Bourke Street Mall (South)
212,2016-01-11 07:00:00,2016,January,11,Monday,7,2,Bourke Street Mall (South)
576,2016-01-11 08:00:00,2016,January,11,Monday,8,2,Bourke Street Mall (South)
795,2016-01-11 09:00:00,2016,January,11,Monday,9,2,Bourke Street Mall (South)
1217,2016-01-11 10:00:00,2016,January,11,Monday,10,2,Bourke Street Mall (South)
1885,2016-01-11 11:00:00,2016,January,11,Monday,11,2,Bourke Street Mall (South)
3228,2016-01-11 12:00:00,2016,January,11,Monday,12,2,Bourke Street Mall (South)
3386,2016-01-11 13:00:00,2016,January,11,Monday,13,2,Bourke Street Mall (South)
2520,2016-01-11 14:00:00,2016,January,11,Monday,14,2,Bourke Street Mall (South)
2384,2016-01-11 15:00:00,2016,January,11,Monday,15,2,Bourke Street Mall (South)
2062,2016-01-11 16:00:00,2016,January,11,Monday,16,2,Bourke Street Mall (South)
2052,2016-01-11 17:00:00,2016,January,11,Monday,17,2,Bourke Street Mall (South)
1284,2016-01-11 18:00:00,2016,January,11,Monday,18,2,Bourke Street Mall (South)
547,2016-01-11 19:00:00,2016,January,11,Monday,19,2,Bourke Street Mall (South)
345,2016-01-11 20:00:00,2016,January,11,Monday,20,2,Bourke Street Mall (South)
254,2016-01-11 21:00:00,2016,January,11,Monday,21,2,Bourke Street Mall (South)
146,2016-01-11 22:00:00,2016,January,11,Monday,22,2,Bourke Street Mall (South)
84,2016-01-11 23:00:00,2016,January,11,Monday,23,2,Bourke Street Mall (South)
52,2016-01-12 00:00:00,2016,January,12,Tuesday,0,2,Bourke Street Mall (South)
35,2016-01-12 01:00:00,2016,January,12,Tuesday,1,2,Bourke Street Mall (South)
16,2016-01-12 02:00:00,2016,January,12,Tuesday,2,2,Bourke Street Mall (South)
5,2016-01-12 03:00:00,2016,January,12,Tuesday,3,2,Bourke Street Mall (South)
20,2016-01-12 04:00:00,2016,January,12,Tuesday,4,2,Bourke Street Mall (South)
23,2016-01-12 05:00:00,2016,January,12,Tuesday,5,2,Bourke Street Mall (South)
102,2016-01-12 06:00:00,2016,January,12,Tuesday,6,2,Bourke Street Mall (South)
219,2016-01-12 07:00:00,2016,January,12,Tuesday,7,2,Bourke Street Mall (South)
608,2016-01-12 08:00:00,2016,January,12,Tuesday,8,2,Bourke Street Mall (South)
718,2016-01-12 09:00:00,2016,January,12,Tuesday,9,2,Bourke Street Mall (South)
1234,2016-01-12 10:00:00,2016,January,12,Tuesday,10,2,Bourke Street Mall (South)
1887,2016-01-12 11:00:00,2016,January,12,Tuesday,11,2,Bourke Street Mall (South)
3311,2016-01-12 12:00:00,2016,January,12,Tuesday,12,2,Bourke Street Mall (South)
3806,2016-01-12 13:00:00,2016,January,12,Tuesday,13,2,Bourke Street Mall (South)
2866,2016-01-12 14:00:00,2016,January,12,Tuesday,14,2,Bourke Street Mall (South)
2592,2016-01-12 15:00:00,2016,January,12,Tuesday,15,2,Bourke Street Mall (South)
2548,2016-01-12 16:00:00,2016,January,12,Tuesday,16,2,Bourke Street Mall (South)
2301,2016-01-12 17:00:00,2016,January,12,Tuesday,17,2,Bourke Street Mall (South)
1498,2016-01-12 18:00:00,2016,January,12,Tuesday,18,2,Bourke Street Mall (South)
708,2016-01-12 19:00:00,2016,January,12,Tuesday,19,2,Bourke Street Mall (South)
478,2016-01-12 20:00:00,2016,January,12,Tuesday,20,2,Bourke Street Mall (South)
289,2016-01-12 21:00:00,2016,January,12,Tuesday,21,2,Bourke Street Mall (South)
202,2016-01-12 22:00:00,2016,January,12,Tuesday,22,2,Bourke Street Mall (South)
97,2016-01-12 23:00:00,2016,January,12,Tuesday,23,2,Bourke Street Mall (South)
76,2016-01-13 00:00:00,2016,January,13,Wednesday,0,2,Bourke Street Mall (South)
23,2016-01-13 01:00:00,2016,January,13,Wednesday,1,2,Bourke Street Mall (South)
16,2016-01-13 02:00:00,2016,January,13,Wednesday,2,2,Bourke Street Mall (South)
12,2016-01-13 03:00:00,2016,January,13,Wednesday,3,2,Bourke Street Mall (South)
14,2016-01-13 04:00:00,2016,January,13,Wednesday,4,2,Bourke Street Mall (South)
25,2016-01-13 05:00:00,2016,January,13,Wednesday,5,2,Bourke Street Mall (South)
73,2016-01-13 06:00:00,2016,January,13,Wednesday,6,2,Bourke Street Mall (South)
208,2016-01-13 07:00:00,2016,January,13,Wednesday,7,2,Bourke Street Mall (South)
626,2016-01-13 08:00:00,2016,January,13,Wednesday,8,2,Bourke Street Mall (South)
824,2016-01-13 09:00:00,2016,January,13,Wednesday,9,2,Bourke Street Mall (South)
1222,2016-01-13 10:00:00,2016,January,13,Wednesday,10,2,Bourke Street Mall (South)
1686,2016-01-13 11:00:00,2016,January,13,Wednesday,11,2,Bourke Street Mall (South)
2559,2016-01-13 12:00:00,2016,January,13,Wednesday,12,2,Bourke Street Mall (South)
2657,2016-01-13 13:00:00,2016,January,13,Wednesday,13,2,Bourke Street Mall (South)
1948,2016-01-13 14:00:00,2016,January,13,Wednesday,14,2,Bourke Street Mall (South)
1640,2016-01-13 15:00:00,2016,January,13,Wednesday,15,2,Bourke Street Mall (South)
1700,2016-01-13 16:00:00,2016,January,13,Wednesday,16,2,Bourke Street Mall (South)
1688,2016-01-13 17:00:00,2016,January,13,Wednesday,17,2,Bourke Street Mall (South)
1278,2016-01-13 18:00:00,2016,January,13,Wednesday,18,2,Bourke Street Mall (South)
546,2016-01-13 19:00:00,2016,January,13,Wednesday,19,2,Bourke Street Mall (South)
353,2016-01-13 20:00:00,2016,January,13,Wednesday,20,2,Bourke Street Mall (South)
318,2016-01-13 21:00:00,2016,January,13,Wednesday,21,2,Bourke Street Mall (South)
178,2016-01-13 22:00:00,2016,January,13,Wednesday,22,2,Bourke Street Mall (South)
130,2016-01-13 23:00:00,2016,January,13,Wednesday,23,2,Bourke Street Mall (South)
70,2016-01-14 00:00:00,2016,January,14,Thursday,0,2,Bourke Street Mall (South)
